qb_name,draft_year,draft_round,draft_pick,college,col_conference,recruit_stars,recruit_rating,composite_nfl_score,recruit_rating_scaled,recruit_bias,norm_nfl_ontgt_pct,norm_nfl_badth_pct,norm_nfl_cmp_pct,norm_nfl_any_a,norm_nfl_rate,norm_nfl_qbr,norm_nfl_td_pct,norm_nfl_int_pct,norm_nfl_prss_pct
Will Levis,2023,2,33,Kentucky,SEC,3.0,0.8689,51.33438504207827,86.89,35.55561495792173,0.5105517323151987,0.6132331566254436,0.5800103551996312,0.5110364861944389,0.5660566617580274,0.15859938208032964,0.4782285658720364,0.5335629542245558,0.5383849190288814
Aidan O'Connell,2023,4,135,Purdue,B1G,,,61.30689166173522,,,0.5812622890035617,0.5410482387867943,0.6603732504207294,0.5869077131824062,0.6019485431650391,0.44799176107106076,0.43019810597114944,0.8176233000800002,0.93044218641809
Dorian Thompson-Robinson,2023,5,140,UCLA,PAC,4.0,0.9813,29.4797148237042,98.13,68.6502851762958,0.5185891261286923,0.5528444092561433,0.18550177050796535,0.0,0.0,0.08856848609680756,0.0,0.14145929017932257,0.7390197019182331
Caleb Williams,2024,1,1,USC,PAC,5.0,0.9969,58.33695935986862,99.69,41.353040640131375,0.5220932086871204,0.39162850222007606,0.5488968850647713,0.6295203182475614,0.6607639060129074,0.5942327497425334,0.5437294982468799,1.0,0.6297151047234593
Jayden Daniels,2024,1,2,LSU,SEC,4.0,0.9832,80.95696214502482,98.32,17.363037854975175,0.8963759362274986,0.8465784086158483,0.8499095227766795,0.6820179916522733,0.7780415929324245,0.7064881565396498,0.6511085736127262,0.8225732053310542,0.9090481527580108
Drake Maye,2024,1,3,North Carolina,ACC,4.0,0.9724,84.94092685588073,97.24000000000001,12.299073144119276,0.9058088762179604,0.8287592160771411,1.0,0.7748140454563975,0.8751904967303852,0.9114315139031927,0.7348082596276667,0.728019412683302,0.7748066754351368
Michael Penix,2024,1,8,Washington,PAC,3.0,0.8749,56.37886348193292,87.49,31.111136518067077,0.5323525106748526,0.20110784957149708,0.5138287623157582,0.7180678714738755,0.613926577931871,0.6354273944387229,0.39737134421687,0.8811122483946092,1.0
J.J. McCarthy,2024,1,10,Michigan,B1G,5.0,0.9866,35.60503432069343,98.66,63.05496567930657,0.26163339936004837,0.3626032790002245,0.4214130093793296,0.39889775120399296,0.41378396970882103,0.28218331616889814,0.5865953229688644,0.0,0.5325257160396275
Bo Nix,2024,1,12,Oregon,PAC,5.0,0.9856,76.20057775562749,98.56,22.35942224437251,0.857920453122389,0.78124973198062,0.7625938124361005,0.6425641993231325,0.6832470275784455,0.7003089598352213,0.5982811953354572,0.7882491894762709,0.9281847814884642
Spencer Rattler,2024,5,150,South Carolina,SEC,5.0,0.9942,63.81972498881383,99.42,35.60027501118617,0.6413233617808465,0.8630668628505842,0.6618347030310114,0.4522683052350547,0.509388264657141,0.4490216271884655,0.2961478637712248,0.7624457310361541,0.8684640780161725
